

"FUN", "HOT", "APT", "MAD"
"COOL", "EPIC", "RICH", "DOPE"
"SMART", "RIGHT", "LUCKY", "FRESH"
"GENIUS", "LEGEND", "BRIGHT", "WICKED"
"AMAZING", "AWESOME", "PERFECT", "NUCLEAR"
"FLAWLESS", "SKILLFUL", "TALENTED", "POWERFUL"
"BEAUTIFUL", "FANTASTIC", "RIGHTEOUS", "EXPLOSIVE"
"UNDENIABLE", "PERFECTION", "EFFORTLESS", "INFECTIOUS"
"INTELLIGENT", "ADVENTUROUS", "UNBREAKABLE", "EXPERIENCED"
"INTELLECTUAL", "COSMOPOLITAN", "EFFERVESCENT", "IMMEASURABLE"
"REVOLUTIONARY", "EXTRAORDINARY", "KNOWLEDGEABLE", "PHILOSOPHICAL"
"QUINTESSENTIAL", "INDESTRUCTIBLE", "INSURMOUNTABLE", "UNIDENTIFIABLE"
"DISPORPORTIONAL", "CONFRONTATIONAL", "EXPRESSIONISTIC", "NONPROFESSIONAL"
"INEXTINGUISHABLE", "UNCHARACTERISTIC", "INTERCONTINENTAL", "EXTRATERRESTRIAL"
"INDISTINGUIAHABLE", "ELECTROMECHANICAL", "INTERDISCIPLINARY", "DECONSTRUCTIONIST"
"OVERCAPITALISATION", "INTERCOMMUNICATION", "OVERSIMPLIFICAITON", "CHARACTERISTICALLY"
"UNSPORTSMANLIKENESS", "INDIVIDUALISTICALLY", "TRANSCENDENTALISTIC", "COUNTERINTELLIGENCE"
"COUNTERREVOLUTIONARY", "INTERCOMMUNICATIONAL", "COMPARTMENTALIZATION", "PALEOANTHROPOLOGICAL" 

&#11088;
